chr,region,ctrl_18w_methy_site_num,chr,region,ccl4_18w_methy_site_num
chr2,6e+06,3768,chr2,6e+06,4277
chr2,6500000,4563,chr2,6500000,5207
chr2,7e+06,3408,chr2,7e+06,3674
chr2,7500000,3111,chr2,7500000,3322
chr2,8e+06,2298,chr2,8e+06,2314
chr2,8500000,2433,chr2,8500000,2461
chr2,9e+06,2565,chr2,9e+06,2510
chr2,9500000,3040,chr2,9500000,3073
chr2,1e+07,3918,chr2,1e+07,4432
chr2,10500000,4731,chr2,10500000,5409
chr2,1.1e+07,3496,chr2,1.1e+07,3764
chr2,11500000,3991,chr2,11500000,4436
chr2,1.2e+07,3799,chr2,1.2e+07,4427
chr2,12500000,3133,chr2,12500000,3523
chr2,1.3e+07,2641,chr2,1.3e+07,2714
chr2,13500000,3804,chr2,13500000,4129
chr2,1.4e+07,2893,chr2,1.4e+07,3047
chr2,14500000,2801,chr2,14500000,3012
chr2,1.5e+07,2749,chr2,1.5e+07,2847
chr2,15500000,2472,chr2,15500000,2491
chr2,1.6e+07,2134,chr2,1.6e+07,2005
chr2,16500000,2258,chr2,16500000,2227
chr2,1.7e+07,2491,chr2,1.7e+07,2615
chr2,17500000,2435,chr2,17500000,2526
chr2,1.8e+07,3462,chr2,1.8e+07,3734
chr2,18500000,3195,chr2,18500000,3592
chr2,1.9e+07,4249,chr2,1.9e+07,4775
chr2,19500000,3639,chr2,19500000,3857
chr2,2e+07,2920,chr2,2e+07,3189
chr2,20500000,2903,chr2,20500000,2883
chr2,2.1e+07,4045,chr2,2.1e+07,4501
chr2,21500000,3240,chr2,21500000,3614
chr2,2.2e+07,2333,chr2,2.2e+07,2544
chr2,22500000,2110,chr2,22500000,2174
chr2,2.3e+07,2602,chr2,2.3e+07,2793
chr2,23500000,2605,chr2,23500000,2840
chr2,2.4e+07,2165,chr2,2.4e+07,2221
chr2,24500000,2734,chr2,24500000,2925
chr2,2.5e+07,4023,chr2,2.5e+07,4491
chr2,25500000,4288,chr2,25500000,5542
chr2,2.6e+07,3935,chr2,2.6e+07,5010
chr2,26500000,4144,chr2,26500000,5573
chr2,2.7e+07,3475,chr2,2.7e+07,4222
chr2,27500000,4001,chr2,27500000,5050
chr2,2.8e+07,3911,chr2,2.8e+07,4725
chr2,28500000,4095,chr2,28500000,4943
chr2,2.9e+07,4600,chr2,2.9e+07,5738
chr2,29500000,4232,chr2,29500000,5007
chr2,3e+07,4298,chr2,3e+07,5275
chr2,30500000,4524,chr2,30500000,5777
chr2,3.1e+07,4150,chr2,3.1e+07,5344
chr2,31500000,4123,chr2,31500000,5549
chr2,3.2e+07,4384,chr2,3.2e+07,5465
chr2,32500000,4680,chr2,32500000,6192
chr2,3.3e+07,4980,chr2,3.3e+07,6458
chr2,33500000,3909,chr2,33500000,4714
chr2,3.4e+07,4570,chr2,3.4e+07,5524
chr2,34500000,3607,chr2,34500000,4053
chr2,3.5e+07,4519,chr2,3.5e+07,5254
chr2,35500000,4529,chr2,35500000,5126
chr2,3.6e+07,4410,chr2,3.6e+07,5176
chr2,36500000,3482,chr2,36500000,3989
chr2,3.7e+07,2092,chr2,3.7e+07,2229
chr2,37500000,2578,chr2,37500000,2666
chr2,3.8e+07,2798,chr2,3.8e+07,3150
chr2,38500000,2781,chr2,38500000,3080
chr2,3.9e+07,3724,chr2,3.9e+07,4109
chr2,39500000,2593,chr2,39500000,2841
chr2,4e+07,1962,chr2,4e+07,2068
chr2,40500000,1996,chr2,40500000,2055
chr2,4.1e+07,2126,chr2,4.1e+07,2197
chr2,41500000,2282,chr2,41500000,2210
chr2,4.2e+07,2122,chr2,4.2e+07,2185
chr2,42500000,2369,chr2,42500000,2380
chr2,4.3e+07,2332,chr2,4.3e+07,2395
chr2,43500000,2233,chr2,43500000,2365
chr2,4.4e+07,3559,chr2,4.4e+07,3696
chr2,44500000,3691,chr2,44500000,3760
chr2,4.5e+07,3070,chr2,4.5e+07,3352
chr2,45500000,3809,chr2,45500000,3967
chr2,4.6e+07,2667,chr2,4.6e+07,2764
chr2,46500000,2194,chr2,46500000,2154
chr2,4.7e+07,2134,chr2,4.7e+07,2148
chr2,47500000,2160,chr2,47500000,2052
chr2,4.8e+07,2105,chr2,4.8e+07,2164
chr2,48500000,2626,chr2,48500000,2687
chr2,4.9e+07,3186,chr2,4.9e+07,3296
chr2,49500000,3005,chr2,49500000,3179
chr2,5e+07,4441,chr2,5e+07,4874
chr2,50500000,3475,chr2,50500000,3636
chr2,5.1e+07,3576,chr2,5.1e+07,3748
chr2,51500000,3566,chr2,51500000,3673
chr2,5.2e+07,3639,chr2,5.2e+07,4248
chr2,52500000,4341,chr2,52500000,4928
chr2,5.3e+07,4344,chr2,5.3e+07,4842
chr2,53500000,3052,chr2,53500000,3246
chr2,5.4e+07,2075,chr2,5.4e+07,2173
chr2,54500000,2492,chr2,54500000,2512
chr2,5.5e+07,2016,chr2,5.5e+07,1986
chr2,55500000,2071,chr2,55500000,2127
chr2,5.6e+07,2038,chr2,5.6e+07,2003
chr2,56500000,2253,chr2,56500000,2226
chr2,5.7e+07,2392,chr2,5.7e+07,2510
chr2,57500000,3725,chr2,57500000,4221
chr2,5.8e+07,3078,chr2,5.8e+07,3199
chr2,58500000,3606,chr2,58500000,3861
chr2,5.9e+07,4250,chr2,5.9e+07,4655
chr2,59500000,4092,chr2,59500000,4797
chr2,6e+07,5557,chr2,6e+07,6366
chr2,60500000,4638,chr2,60500000,4944
chr2,6.1e+07,4662,chr2,6.1e+07,5245
chr2,61500000,3672,chr2,61500000,3832
chr2,6.2e+07,2998,chr2,6.2e+07,3109
chr2,62500000,3145,chr2,62500000,3255
chr2,6.3e+07,3113,chr2,6.3e+07,3170
chr2,63500000,2318,chr2,63500000,2273
chr2,6.4e+07,2835,chr2,6.4e+07,2881
chr2,64500000,3041,chr2,64500000,3120
chr2,6.5e+07,3189,chr2,6.5e+07,3386
chr2,65500000,4019,chr2,65500000,4147
chr2,6.6e+07,4196,chr2,6.6e+07,4361
chr2,66500000,4155,chr2,66500000,4393
chr2,6.7e+07,2814,chr2,6.7e+07,2858
chr2,67500000,2534,chr2,67500000,2562
chr2,6.8e+07,3244,chr2,6.8e+07,3237
chr2,68500000,4553,chr2,68500000,5054
chr2,6.9e+07,3409,chr2,6.9e+07,3683
chr2,69500000,4390,chr2,69500000,4733
chr2,7e+07,3809,chr2,7e+07,4415
chr2,70500000,4011,chr2,70500000,4512
chr2,7.1e+07,4083,chr2,7.1e+07,4790
chr2,71500000,4277,chr2,71500000,4866
chr2,7.2e+07,3380,chr2,7.2e+07,4339
chr2,72500000,4344,chr2,72500000,5111
chr2,7.3e+07,4278,chr2,7.3e+07,4720
chr2,73500000,4514,chr2,73500000,5369
chr2,7.4e+07,3976,chr2,7.4e+07,4397
chr2,74500000,4047,chr2,74500000,4506
chr2,7.5e+07,4503,chr2,7.5e+07,4848
chr2,75500000,4361,chr2,75500000,5007
chr2,7.6e+07,4471,chr2,7.6e+07,4797
chr2,76500000,3849,chr2,76500000,4384
chr2,7.7e+07,6302,chr2,7.7e+07,7172
chr2,77500000,4650,chr2,77500000,5180
chr2,7.8e+07,4447,chr2,7.8e+07,4783
chr2,78500000,2979,chr2,78500000,3126
chr2,7.9e+07,3106,chr2,7.9e+07,3267
chr2,79500000,3446,chr2,79500000,3585
chr2,8e+07,3309,chr2,8e+07,3594
chr2,80500000,3133,chr2,80500000,3508
chr2,8.1e+07,3193,chr2,8.1e+07,3414
chr2,81500000,1992,chr2,81500000,1918
chr2,8.2e+07,2121,chr2,8.2e+07,2091
chr2,82500000,2126,chr2,82500000,2187
chr2,8.3e+07,2280,chr2,8.3e+07,2378
chr2,83500000,2457,chr2,83500000,2561
chr2,8.4e+07,2539,chr2,8.4e+07,2797
chr2,84500000,2158,chr2,84500000,2226
chr2,8.5e+07,3692,chr2,8.5e+07,4278
chr2,85500000,2760,chr2,85500000,3155
chr2,8.6e+07,1687,chr2,8.6e+07,1654
chr2,86500000,1645,chr2,86500000,1598
chr2,8.7e+07,1461,chr2,8.7e+07,1515
chr2,87500000,1550,chr2,87500000,1610
chr2,8.8e+07,1535,chr2,8.8e+07,1499
chr2,88500000,1769,chr2,88500000,1671
chr2,8.9e+07,1390,chr2,8.9e+07,1369
chr2,89500000,1760,chr2,89500000,1762
chr2,9e+07,2058,chr2,9e+07,2031
chr2,90500000,1730,chr2,90500000,1945
chr2,9.1e+07,3809,chr2,9.1e+07,4161
chr2,91500000,3823,chr2,91500000,4367
chr2,9.2e+07,3143,chr2,9.2e+07,3729
chr2,92500000,4281,chr2,92500000,4937
chr2,9.3e+07,3696,chr2,9.3e+07,4495
chr2,93500000,3696,chr2,93500000,4741
chr2,9.4e+07,4168,chr2,9.4e+07,5075
chr2,94500000,4070,chr2,94500000,4574
chr2,9.5e+07,2267,chr2,9.5e+07,2367
chr2,95500000,1789,chr2,95500000,1796
chr2,9.6e+07,2018,chr2,9.6e+07,1962
chr2,96500000,2006,chr2,96500000,1977
chr2,9.7e+07,1932,chr2,9.7e+07,1896
chr2,97500000,1918,chr2,97500000,1916
chr2,9.8e+07,2002,chr2,9.8e+07,2005
chr2,98500000,1873,chr2,98500000,1840
chr2,9.9e+07,1871,chr2,9.9e+07,1739
chr2,99500000,1545,chr2,99500000,1484
chr2,1e+08,1601,chr2,1e+08,1702
chr2,100500000,1400,chr2,100500000,1298
chr2,1.01e+08,792,chr2,1.01e+08,816
chr2,101500000,2160,chr2,101500000,2244
chr2,1.02e+08,3816,chr2,1.02e+08,4417
chr2,102500000,3640,chr2,102500000,4265
chr2,1.03e+08,3129,chr2,1.03e+08,3631
chr2,103500000,3728,chr2,103500000,4062
chr2,1.04e+08,3648,chr2,1.04e+08,4306
chr2,104500000,3714,chr2,104500000,4266
chr2,1.05e+08,2964,chr2,1.05e+08,3174
chr2,105500000,3897,chr2,105500000,4794
chr2,1.06e+08,3098,chr2,1.06e+08,3315
chr2,106500000,3226,chr2,106500000,3262
chr2,1.07e+08,3951,chr2,1.07e+08,4430
chr2,107500000,2338,chr2,107500000,2254
chr2,1.08e+08,1927,chr2,1.08e+08,1917
chr2,108500000,1915,chr2,108500000,1950
chr2,1.09e+08,2322,chr2,1.09e+08,2365
chr2,109500000,2410,chr2,109500000,2518
chr2,1.1e+08,3131,chr2,1.1e+08,3360
chr2,110500000,2741,chr2,110500000,2970
chr2,1.11e+08,1890,chr2,1.11e+08,1826
chr2,111500000,2122,chr2,111500000,2165
chr2,1.12e+08,1625,chr2,1.12e+08,1616
chr2,112500000,2845,chr2,112500000,3350
chr2,1.13e+08,3246,chr2,1.13e+08,3473
chr2,113500000,3214,chr2,113500000,3457
chr2,1.14e+08,3043,chr2,1.14e+08,3547
chr2,114500000,3443,chr2,114500000,3554
chr2,1.15e+08,2622,chr2,1.15e+08,2747
chr2,115500000,2662,chr2,115500000,2649
chr2,1.16e+08,3847,chr2,1.16e+08,4358
chr2,116500000,2938,chr2,116500000,3118
chr2,1.17e+08,3412,chr2,1.17e+08,3691
chr2,117500000,3566,chr2,117500000,4030
chr2,1.18e+08,2777,chr2,1.18e+08,2874
chr2,118500000,3200,chr2,118500000,3929
chr2,1.19e+08,3079,chr2,1.19e+08,4012
chr2,119500000,3122,chr2,119500000,3718
chr2,1.2e+08,2677,chr2,1.2e+08,3010
chr2,120500000,3788,chr2,120500000,4372
chr2,1.21e+08,2920,chr2,1.21e+08,3357
chr2,121500000,2756,chr2,121500000,3297
chr2,1.22e+08,2626,chr2,1.22e+08,3129
chr2,122500000,2942,chr2,122500000,3511
chr2,1.23e+08,2403,chr2,1.23e+08,2642
chr2,123500000,1378,chr2,123500000,1502
chr2,1.24e+08,1823,chr2,1.24e+08,1813
chr2,124500000,2900,chr2,124500000,3081
chr2,1.25e+08,3609,chr2,1.25e+08,3949
chr2,125500000,4529,chr2,125500000,5071
chr2,1.26e+08,4001,chr2,1.26e+08,4596
chr2,126500000,3367,chr2,126500000,3764
chr2,1.27e+08,4090,chr2,1.27e+08,4398
chr2,127500000,3625,chr2,127500000,4378
chr2,1.28e+08,3598,chr2,1.28e+08,4077
chr2,128500000,3848,chr2,128500000,4817
chr2,1.29e+08,3620,chr2,1.29e+08,3970
chr2,129500000,3556,chr2,129500000,3921
chr2,1.3e+08,2858,chr2,1.3e+08,3354
chr2,130500000,2675,chr2,130500000,3288
chr2,1.31e+08,2749,chr2,1.31e+08,3367
chr2,131500000,3351,chr2,131500000,4102
chr2,1.32e+08,3784,chr2,1.32e+08,4229
chr2,132500000,4317,chr2,132500000,4991
chr2,1.33e+08,4305,chr2,1.33e+08,4463
chr2,133500000,3386,chr2,133500000,3440
chr2,1.34e+08,3114,chr2,1.34e+08,3299
chr2,134500000,2635,chr2,134500000,2664
chr2,1.35e+08,2946,chr2,1.35e+08,3164
chr2,135500000,3469,chr2,135500000,3528
chr2,1.36e+08,4466,chr2,1.36e+08,4928
chr2,136500000,2869,chr2,136500000,2925
chr2,1.37e+08,3097,chr2,1.37e+08,3377
chr2,137500000,2948,chr2,137500000,3291
chr2,1.38e+08,2628,chr2,1.38e+08,2761
chr2,138500000,3004,chr2,138500000,3260
chr2,1.39e+08,2563,chr2,1.39e+08,2635
chr2,139500000,2344,chr2,139500000,2362
chr2,1.4e+08,3219,chr2,1.4e+08,3381
chr2,140500000,3205,chr2,140500000,3425
chr2,1.41e+08,2824,chr2,1.41e+08,2932
chr2,141500000,2620,chr2,141500000,2670
chr2,1.42e+08,2591,chr2,1.42e+08,2693
chr2,142500000,2766,chr2,142500000,2761
chr2,1.43e+08,3180,chr2,1.43e+08,3404
chr2,143500000,2884,chr2,143500000,3189
chr2,1.44e+08,3556,chr2,1.44e+08,4158
chr2,144500000,4384,chr2,144500000,5093
chr2,1.45e+08,3563,chr2,1.45e+08,3895
chr2,145500000,2994,chr2,145500000,3080
chr2,1.46e+08,3827,chr2,1.46e+08,4385
chr2,146500000,2684,chr2,146500000,3124
chr2,1.47e+08,2590,chr2,1.47e+08,2752
chr2,147500000,2600,chr2,147500000,2889
chr2,1.48e+08,2505,chr2,1.48e+08,2656
chr2,148500000,2933,chr2,148500000,3349
chr2,1.49e+08,2668,chr2,1.49e+08,2912
chr2,149500000,1775,chr2,149500000,1812
chr2,1.5e+08,2512,chr2,1.5e+08,2588
chr2,150500000,2773,chr2,150500000,2947
chr2,1.51e+08,4110,chr2,1.51e+08,4690
chr2,151500000,2330,chr2,151500000,2622
chr2,1.52e+08,3848,chr2,1.52e+08,4438
chr2,152500000,3962,chr2,152500000,4666
chr2,1.53e+08,3968,chr2,1.53e+08,4796
chr2,153500000,3569,chr2,153500000,4440
chr2,1.54e+08,3552,chr2,1.54e+08,4199
chr2,154500000,2803,chr2,154500000,3173
chr2,1.55e+08,3248,chr2,1.55e+08,3755
chr2,155500000,2684,chr2,155500000,3106
chr2,1.56e+08,3437,chr2,1.56e+08,4228
chr2,156500000,2848,chr2,156500000,3623
chr2,1.57e+08,4438,chr2,1.57e+08,5439
chr2,157500000,4273,chr2,157500000,5380
chr2,1.58e+08,4063,chr2,1.58e+08,4887
chr2,158500000,3927,chr2,158500000,4929
chr2,1.59e+08,4362,chr2,1.59e+08,5366
chr2,159500000,3149,chr2,159500000,3479
chr2,1.6e+08,2688,chr2,1.6e+08,3016
chr2,160500000,3938,chr2,160500000,4670
chr2,1.61e+08,3597,chr2,1.61e+08,4204
chr2,161500000,3370,chr2,161500000,3617
chr2,1.62e+08,2290,chr2,1.62e+08,2543
chr2,162500000,2497,chr2,162500000,2802
chr2,1.63e+08,3930,chr2,1.63e+08,4550
chr2,163500000,4957,chr2,163500000,6087
chr2,1.64e+08,3920,chr2,1.64e+08,4599
chr2,164500000,4470,chr2,164500000,5523
chr2,1.65e+08,4504,chr2,1.65e+08,5610
chr2,165500000,4458,chr2,165500000,5660
chr2,1.66e+08,4247,chr2,1.66e+08,5179
chr2,166500000,4754,chr2,166500000,6091
chr2,1.67e+08,4497,chr2,1.67e+08,5858
chr2,167500000,4928,chr2,167500000,6145
chr2,1.68e+08,4558,chr2,1.68e+08,5843
chr2,168500000,4703,chr2,168500000,5964
chr2,1.69e+08,4606,chr2,1.69e+08,5870
chr2,169500000,4740,chr2,169500000,5463
chr2,1.7e+08,4751,chr2,1.7e+08,5837
chr2,170500000,5043,chr2,170500000,6331
chr2,1.71e+08,5287,chr2,1.71e+08,6248
chr2,171500000,4179,chr2,171500000,4587
chr2,1.72e+08,3974,chr2,1.72e+08,4348
chr2,172500000,5232,chr2,172500000,6163
chr2,1.73e+08,4396,chr2,1.73e+08,5483
chr2,173500000,4422,chr2,173500000,5865
chr2,1.74e+08,3930,chr2,1.74e+08,4770
chr2,174500000,4332,chr2,174500000,5339
chr2,1.75e+08,3826,chr2,1.75e+08,4631
chr2,175500000,752,chr2,175500000,865
chr2,1.77e+08,324,chr2,176500000,1
chr2,177500000,1610,chr2,1.77e+08,353
chr2,1.78e+08,1308,chr2,177500000,1605
chr2,178500000,3336,chr2,1.78e+08,1430
chr2,1.79e+08,3790,chr2,178500000,3988
chr2,179500000,3982,chr2,1.79e+08,4434
chr2,1.8e+08,3914,chr2,179500000,4637
chr2,180500000,3981,chr2,1.8e+08,4910
chr2,1.81e+08,3839,chr2,180500000,5298
chr2,181500000,3769,chr2,1.81e+08,4855
chr2,1.82e+08,3344,chr2,181500000,4573
chr3,3500000,2787,chr2,1.82e+08,3671
chr3,4e+06,2222,chr3,3500000,3025
chr3,4500000,2264,chr3,4e+06,2268
chr3,5e+06,2119,chr3,4500000,2219
chr3,5500000,2460,chr3,5e+06,2135
chr3,6e+06,1676,chr3,5500000,2670
chr3,6500000,2111,chr3,6e+06,1771
chr3,7e+06,1865,chr3,6500000,2196
chr3,7500000,2142,chr3,7e+06,1780
chr3,8e+06,2198,chr3,7500000,2256
chr3,8500000,2209,chr3,8e+06,2216
chr3,9e+06,3936,chr3,8500000,2388
chr3,9500000,3865,chr3,9e+06,4533
chr3,1e+07,3904,chr3,9500000,4467
chr3,10500000,4090,chr3,1e+07,4741
chr3,1.1e+07,2227,chr3,10500000,4406
chr3,11500000,1948,chr3,1.1e+07,2412
chr3,1.2e+07,1666,chr3,11500000,2028
chr3,12500000,1732,chr3,1.2e+07,1701
chr3,1.3e+07,2072,chr3,12500000,1753
chr3,13500000,2213,chr3,1.3e+07,2152
chr3,1.4e+07,2312,chr3,13500000,2266
chr3,14500000,2547,chr3,1.4e+07,2281
chr3,1.5e+07,2969,chr3,14500000,2607
chr3,15500000,1923,chr3,1.5e+07,3019
chr3,1.6e+07,364,chr3,15500000,1964
chr3,16500000,2437,chr3,1.6e+07,365
chr3,1.7e+07,2103,chr3,16500000,2624
chr3,17500000,2015,chr3,1.7e+07,2206
chr3,1.8e+07,2185,chr3,17500000,1982
chr3,18500000,2608,chr3,1.8e+07,2305
chr3,1.9e+07,2460,chr3,18500000,2607
chr3,19500000,3296,chr3,1.9e+07,2393
chr3,2e+07,3141,chr3,19500000,3478
chr3,20500000,3018,chr3,2e+07,3411
chr3,2.1e+07,2298,chr3,20500000,3242
chr3,21500000,2315,chr3,2.1e+07,2427
chr3,2.2e+07,2888,chr3,21500000,2423
chr3,22500000,3180,chr3,2.2e+07,3051
chr3,2.3e+07,2310,chr3,22500000,3391
chr3,23500000,2216,chr3,2.3e+07,2509
chr3,2.4e+07,2061,chr3,23500000,2195
chr3,24500000,2131,chr3,2.4e+07,2022
chr3,2.5e+07,2192,chr3,24500000,2070
chr3,25500000,2362,chr3,2.5e+07,2131
chr3,2.6e+07,2631,chr3,25500000,2307
chr3,26500000,2632,chr3,2.6e+07,2607
chr3,2.7e+07,3112,chr3,26500000,2617
chr3,27500000,4762,chr3,2.7e+07,3392
chr3,2.8e+07,4532,chr3,27500000,5269
chr3,28500000,3597,chr3,2.8e+07,5045
chr3,2.9e+07,3470,chr3,28500000,4163
chr3,29500000,2884,chr3,2.9e+07,3851
chr3,3e+07,2973,chr3,29500000,3065
chr3,30500000,4084,chr3,3e+07,3232
chr3,3.1e+07,4141,chr3,30500000,4254
chr3,31500000,3989,chr3,3.1e+07,4478
chr3,3.2e+07,2860,chr3,31500000,4609
chr3,32500000,3818,chr3,3.2e+07,3053
chr3,3.3e+07,4163,chr3,32500000,4181
chr3,33500000,3117,chr3,3.3e+07,4738
chr3,3.4e+07,3193,chr3,33500000,3359
chr3,34500000,3870,chr3,3.4e+07,3197
chr3,3.5e+07,4635,chr3,34500000,4200
chr3,35500000,3896,chr3,3.5e+07,5168
chr3,3.6e+07,3526,chr3,35500000,4167
chr3,36500000,3872,chr3,3.6e+07,3721
chr3,3.7e+07,3753,chr3,36500000,4241
chr3,37500000,3562,chr3,3.7e+07,4165
chr3,3.8e+07,3972,chr3,37500000,3949
chr3,38500000,3682,chr3,3.8e+07,4724
chr3,3.9e+07,3654,chr3,38500000,4096
chr3,39500000,2556,chr3,3.9e+07,3780
chr3,4e+07,2072,chr3,39500000,2786
chr3,40500000,3069,chr3,4e+07,2257
chr3,4.1e+07,3001,chr3,40500000,3305
chr3,41500000,4013,chr3,4.1e+07,3308
chr3,4.2e+07,2822,chr3,41500000,4625
chr3,42500000,2257,chr3,4.2e+07,3092
chr3,4.3e+07,1869,chr3,42500000,2362
chr3,43500000,1873,chr3,4.3e+07,1859
chr3,4.4e+07,2027,chr3,43500000,1884
chr3,44500000,1995,chr3,4.4e+07,1965
chr3,4.5e+07,2021,chr3,44500000,1895
chr3,45500000,2642,chr3,4.5e+07,1972
chr3,4.6e+07,2155,chr3,45500000,2539
chr3,46500000,1813,chr3,4.6e+07,2046
chr3,4.7e+07,2124,chr3,46500000,1804
chr3,47500000,2102,chr3,4.7e+07,1931
chr3,4.8e+07,1215,chr3,47500000,2044
chr3,48500000,1288,chr3,4.8e+07,1246
chr3,4.9e+07,1468,chr3,48500000,1301
chr3,49500000,1260,chr3,4.9e+07,1438
chr3,5e+07,1882,chr3,49500000,1192
chr3,50500000,2273,chr3,5e+07,1923
chr3,5.1e+07,2447,chr3,50500000,2359
chr3,51500000,4837,chr3,5.1e+07,2603
chr3,5.2e+07,5624,chr3,51500000,5362
chr3,52500000,4647,chr3,5.2e+07,6237
chr3,5.3e+07,4100,chr3,52500000,5473
chr3,53500000,3979,chr3,5.3e+07,4638
chr3,5.4e+07,4004,chr3,53500000,4605
chr3,54500000,3399,chr3,5.4e+07,4588
chr3,5.5e+07,3639,chr3,54500000,3678
chr3,55500000,4255,chr3,5.5e+07,4122
chr3,5.6e+07,3893,chr3,55500000,4839
chr3,56500000,2559,chr3,5.6e+07,4021
chr3,5.7e+07,2065,chr3,56500000,2596
chr3,57500000,2678,chr3,5.7e+07,2214
chr3,5.8e+07,3378,chr3,57500000,2915
chr3,58500000,3147,chr3,5.8e+07,3690
chr3,5.9e+07,3377,chr3,58500000,3328
chr3,59500000,3637,chr3,5.9e+07,3613
chr3,6e+07,1970,chr3,59500000,4016
chr3,60500000,2019,chr3,6e+07,2027
chr3,6.1e+07,2535,chr3,60500000,2029
chr3,61500000,2661,chr3,6.1e+07,2636
chr3,6.2e+07,1937,chr3,61500000,2794
chr3,62500000,2433,chr3,6.2e+07,1964
chr3,6.3e+07,2233,chr3,62500000,2560
chr3,63500000,2384,chr3,6.3e+07,2249
chr3,6.4e+07,2983,chr3,63500000,2452
chr3,64500000,2421,chr3,6.4e+07,3360
chr3,6.5e+07,2109,chr3,64500000,2477
chr3,65500000,3034,chr3,6.5e+07,2153
chr3,6.6e+07,3536,chr3,65500000,3216
chr3,66500000,2632,chr3,6.6e+07,3846
chr3,6.7e+07,3160,chr3,66500000,2788
chr3,67500000,2975,chr3,6.7e+07,3403
chr3,6.8e+07,3081,chr3,67500000,3053
chr3,68500000,3031,chr3,6.8e+07,3408
chr3,6.9e+07,4183,chr3,68500000,3212
chr3,69500000,3805,chr3,6.9e+07,4717
chr3,7e+07,3458,chr3,69500000,4244
chr3,70500000,2653,chr3,7e+07,3794
chr3,7.1e+07,1744,chr3,70500000,2633
chr3,71500000,1784,chr3,7.1e+07,1732
chr3,7.2e+07,1626,chr3,71500000,1718
chr3,72500000,1695,chr3,7.2e+07,1568
chr3,7.3e+07,2224,chr3,72500000,1648
chr3,73500000,2123,chr3,7.3e+07,2185
chr3,7.4e+07,2116,chr3,73500000,2140
chr3,74500000,1860,chr3,7.4e+07,2062
chr3,7.5e+07,1991,chr3,74500000,1780
chr3,75500000,2278,chr3,7.5e+07,1925
chr3,7.6e+07,3029,chr3,75500000,2174
chr3,76500000,2025,chr3,7.6e+07,3007
chr3,7.7e+07,2019,chr3,76500000,1989
chr3,77500000,1822,chr3,7.7e+07,1925
chr3,7.8e+07,1415,chr3,77500000,1825
chr3,78500000,1986,chr3,7.8e+07,1386
chr3,7.9e+07,2241,chr3,78500000,1894
chr3,79500000,4097,chr3,7.9e+07,2510
chr3,8e+07,3681,chr3,79500000,4704
chr3,80500000,2629,chr3,8e+07,4112
chr3,8.1e+07,2455,chr3,80500000,2737
chr3,81500000,2096,chr3,8.1e+07,2430
chr3,8.2e+07,2318,chr3,81500000,2054
chr3,82500000,2967,chr3,8.2e+07,2307
chr3,8.3e+07,2850,chr3,82500000,3145
chr3,83500000,4027,chr3,8.3e+07,3204
chr3,8.4e+07,4297,chr3,83500000,4297
chr3,84500000,4513,chr3,8.4e+07,4781
chr3,8.5e+07,3602,chr3,84500000,5197
chr3,85500000,3606,chr3,8.5e+07,4126
chr3,8.6e+07,3769,chr3,85500000,4179
chr3,86500000,3329,chr3,8.6e+07,4207
chr3,8.7e+07,3531,chr3,86500000,3604
chr3,87500000,2520,chr3,8.7e+07,3885
chr3,8.8e+07,3474,chr3,87500000,2970
chr3,88500000,4139,chr3,8.8e+07,4455
chr3,8.9e+07,3283,chr3,88500000,5084
chr3,89500000,4387,chr3,8.9e+07,4148
chr3,9e+07,4288,chr3,89500000,5355
chr3,90500000,3547,chr3,9e+07,5289
chr3,9.1e+07,2298,chr3,90500000,4005
chr3,91500000,2308,chr3,9.1e+07,2615
chr3,9.2e+07,2131,chr3,91500000,2415
chr3,92500000,1572,chr3,9.2e+07,2089
chr3,9.3e+07,1920,chr3,92500000,1649
chr3,93500000,2632,chr3,9.3e+07,1939
chr3,9.4e+07,2217,chr3,93500000,2778
chr3,94500000,2778,chr3,9.4e+07,2527
chr3,9.5e+07,3520,chr3,94500000,3083
chr3,95500000,4180,chr3,9.5e+07,3942
chr3,9.6e+07,4016,chr3,95500000,4871
chr3,96500000,4222,chr3,9.6e+07,4776
chr3,9.7e+07,4424,chr3,96500000,4896
chr3,97500000,4008,chr3,9.7e+07,4933
chr3,9.8e+07,4740,chr3,97500000,4362
chr3,98500000,3815,chr3,9.8e+07,5413
chr3,9.9e+07,2137,chr3,98500000,4551
chr3,99500000,3032,chr3,9.9e+07,2215
chr3,1e+08,2619,chr3,99500000,3329
chr3,100500000,3335,chr3,1e+08,2838
chr3,1.01e+08,4047,chr3,100500000,3732
chr3,101500000,4269,chr3,1.01e+08,4334
chr3,1.02e+08,4096,chr3,101500000,5165
chr3,102500000,3566,chr3,1.02e+08,4893
chr3,1.03e+08,3049,chr3,102500000,4270
chr3,103500000,3795,chr3,1.03e+08,3389
chr3,1.04e+08,3687,chr3,103500000,4249
chr3,104500000,3048,chr3,1.04e+08,4250
chr3,1.05e+08,3657,chr3,104500000,3225
chr3,105500000,3525,chr3,1.05e+08,4128
chr3,1.06e+08,3372,chr3,105500000,3949
chr3,106500000,2489,chr3,1.06e+08,4024
chr3,1.07e+08,2279,chr3,106500000,2655
chr3,107500000,3601,chr3,1.07e+08,2363
chr3,1.08e+08,3796,chr3,107500000,4245
chr3,108500000,4533,chr3,1.08e+08,4473
chr3,1.09e+08,4377,chr3,108500000,5430
